ord,request,window,request_in_window,kind,campaign_id,bid_value
312,104,248,0,bid,1,10
313,104,248,0,bid,2,11
314,104,248,0,win,2,10
315,105,249,0,bid,1,10
316,105,249,0,bid,2,11
317,105,249,0,win,2,10
318,106,250,0,bid,1,10
319,106,250,0,bid,2,11
320,106,250,0,win,2,10
321,107,251,0,bid,1,10
322,107,251,0,bid,2,11
323,107,251,0,win,2,10
324,108,252,0,bid,1,10
325,108,252,0,bid,2,11
326,108,252,0,win,2,10
327,109,253,0,bid,1,10
328,109,253,0,bid,2,11
329,109,253,0,win,2,10
330,110,254,0,bid,1,10
331,110,254,0,bid,2,11
332,110,254,0,win,2,10
333,111,255,0,bid,1,10
334,111,255,0,bid,2,11
335,111,255,0,win,2,10
336,112,256,0,bid,1,10
337,112,256,0,bid,2,11
338,112,256,0,win,2,10
339,113,257,0,bid,1,10
340,113,257,0,bid,2,11
341,113,257,0,win,2,10
342,114,258,0,bid,1,10
343,114,258,0,bid,2,11
344,114,258,0,win,2,10
345,115,259,0,bid,1,10
346,115,259,0,bid,2,11
347,115,259,0,win,2,10
348,116,260,0,bid,1,10
349,116,260,0,bid,2,11
350,116,260,0,win,2,10
351,117,261,0,bid,1,10
352,117,261,0,bid,2,11
353,117,261,0,win,2,10
354,118,262,0,bid,1,10
355,118,262,0,bid,2,11
356,118,262,0,win,2,10
357,119,263,0,bid,1,10
358,119,263,0,bid,2,11
359,119,263,0,win,2,10
360,120,264,0,bid,1,10
361,120,264,0,bid,2,11
362,120,264,0,win,2,10
363,121,265,0,bid,1,10
364,121,265,0,bid,2,11
365,121,265,0,win,2,10
366,122,266,0,bid,1,10
367,122,266,0,bid,2,11
368,122,266,0,win,2,10
369,123,267,0,bid,1,10
370,123,267,0,bid,2,11
371,123,267,0,win,2,10
372,124,268,0,bid,1,10
373,124,268,0,bid,2,11
374,124,268,0,win,2,10
375,125,269,0,bid,1,10
376,125,269,0,bid,2,11
377,125,269,0,win,2,10
378,126,270,0,bid,1,10
379,126,270,0,bid,2,11
380,126,270,0,win,2,10
381,127,271,0,bid,1,10
382,127,271,0,bid,2,11
383,127,271,0,win,2,10
384,128,272,0,bid,1,10
385,128,272,0,bid,2,11
386,128,272,0,win,2,10
387,129,273,0,bid,1,10
388,129,273,0,bid,2,11
389,129,273,0,win,2,10
390,130,274,0,bid,1,10
391,130,274,0,bid,2,11
392,130,274,0,win,2,10
393,131,274,1,bid,1,10
394,131,274,1,bid,2,11
395,131,274,1,win,2,10
396,132,275,0,bid,1,10
397,132,275,0,bid,2,11
398,132,275,0,win,2,10
399,133,275,1,bid,1,10
400,133,275,1,bid,2,11
401,133,275,1,win,2,10
402,134,276,0,bid,1,10
403,134,276,0,bid,2,11
404,134,276,0,win,2,10
405,135,276,1,bid,1,10
406,135,276,1,bid,2,11
407,135,276,1,win,2,10
408,136,277,0,bid,1,10
409,136,277,0,bid,2,11
410,136,277,0,win,2,10
411,137,277,1,bid,1,10
412,137,277,1,bid,2,11
413,137,277,1,win,2,10
414,138,278,0,bid,1,10
415,138,278,0,bid,2,11
416,138,278,0,win,2,10
417,139,278,1,bid,1,10
418,139,278,1,bid,2,11
419,139,278,1,win,2,10
420,140,279,0,bid,1,10
421,140,279,0,bid,2,11
422,140,279,0,win,2,10
423,141,279,1,bid,1,10
424,141,279,1,bid,2,11
425,141,279,1,win,2,10
426,142,280,0,bid,1,10
427,142,280,0,bid,2,11
428,142,280,0,win,2,10
429,143,280,1,bid,1,10
430,143,280,1,bid,2,11
431,143,280,1,win,2,10
432,144,281,0,bid,1,10
433,144,281,0,bid,2,11
434,144,281,0,win,2,10
435,145,281,1,bid,1,10
436,145,281,1,bid,2,11
437,145,281,1,win,2,10
438,146,282,0,bid,1,10
439,146,282,0,bid,2,11
440,146,282,0,win,2,10
441,147,282,1,bid,1,10
442,147,282,1,bid,2,11
443,147,282,1,win,2,10
444,148,283,0,bid,1,10
445,148,283,0,bid,2,11
446,148,283,0,win,2,10
447,149,283,1,bid,1,10
448,149,283,1,bid,2,11
449,149,283,1,win,2,10
450,150,284,0,bid,1,10
451,150,284,0,bid,2,11
452,150,284,0,win,2,10
453,151,284,1,bid,1,10
454,151,284,1,bid,2,11
455,151,284,1,win,2,10
456,152,285,0,bid,1,10
457,152,285,0,bid,2,11
458,152,285,0,win,2,10
459,153,285,1,bid,1,10
460,153,285,1,bid,2,11
461,153,285,1,win,2,10
462,154,286,0,bid,1,10
463,154,286,0,bid,2,11
464,154,286,0,win,2,10
465,155,286,1,bid,1,10
466,155,286,1,bid,2,11
467,155,286,1,win,2,10
468,156,287,0,bid,1,10
469,156,287,0,bid,2,11
470,156,287,0,win,2,10
471,157,287,1,bid,1,10
472,157,287,1,bid,2,11
473,157,287,1,win,2,10
474,158,288,0,bid,1,10
475,158,288,0,bid,2,11
476,158,288,0,win,2,10
477,159,288,1,bid,1,10
478,159,288,1,bid,2,11
479,159,288,1,win,2,10
480,160,289,0,bid,1,10
481,160,289,0,bid,2,11
482,160,289,0,win,2,10
483,161,289,1,bid,1,10
484,161,289,1,bid,2,11
485,161,289,1,win,2,10
486,162,290,0,bid,1,10
487,162,290,0,bid,2,11
488,162,290,0,win,2,10
489,163,290,1,bid,1,10
